time,TC1,TC2,TC3,TC4,PT1,PT2,PT3,PT4,LC
64,1000,1000,1000,1000,1000,1000,1000,1000,1000
122,999.4178376128716,1000.5929187224817,999.7180435959815,1000.0514543628491,1000.4924066872253,1000.6112292748519,999.6267103073351,1000.2102882005914,999.0647801304017
165,998.7689253519022,1001.298178709536,998.8249099970973,999.659203278265,1001.4158200427484,1000.9348477749814,998.8758808566057,999.3486232939462,998.3624369929147
212,999.400992354046,1001.6917262451415,997.9915120096109,1000.491443456692,1001.7029044331888,1001.5775387908238,998.2300453334083,999.3875100374993,998.5094480242253
257,1000.1971220419565,1000.8028043178635,997.167479653385,1001.4097345568024,1000.8473955953673,1001.376601644814,999.0091170346741,999.0077424226129,997.6562715218645
303,1000.8396950724876,1000.4225474488996,997.6097891819227,1001.9261125719979,1001.6109169723738,1001.7515501934503,998.9517925368876,998.6152949274743,997.3210218377251
351,1000.4451280502586,999.6199995942519,997.882986123945,1002.2993373519491,1001.0983686922624,1002.1137163374402,998.2552370992612,998.6291702014033,997.1331828111486
394,1000.5038350250652,998.6835665087391,997.1600311757065,1002.0259474495118,1001.6472535371828,1002.9795290138247,998.6149269910446,998.3799729426727,996.7951161019474
443,999.5602796664924,998.374174282895,997.0653145663375,1001.6836038647054,1001.0281603798303,1002.3209592741198,998.4137620218097,998.051111288204,997.6397382007925
490,998.8099086425777,997.9264837923853,997.1768956029498,1000.8524357374993,1000.2325270975942,1002.7602009319135,998.1714986897405,998.9745923711737,998.1785571336741
537,998.9515667186478,997.1471532559452,997.6588060395201,1000.74873354459,999.5459675178303,1002.6824541784873,999.145830539543,998.4898873808153,997.3784427907705
584,998.6202445806485,996.1594547635036,997.1426579370491,1000.941594757413,999.7874786194784,1003.0673692255981,999.7077830059561,998.2928162453433,998.2721320554126
631,999.2728766241275,996.1370792016323,996.8009910272898,1000.0069973966662,999.4960554016847,1002.5266692973076,1000.079819930079,998.9487372216615,998.8832198372452
677,1000.0526220160708,996.8080629686724,995.9743100290926,1000.5238646032757,998.7436218207076,1002.7537320136239,999.1867564236823,999.1500452753943,999.1489455264265
724,1000.5815282531854,997.7407980795035,994.9783239821758,1000.1568747375521,998.2225931906557,1002.4579415103574,998.6625710904462,998.2192671319315,999.3474336336647
772,1000.1680423642167,996.8372786634466,994.9360978428301,1000.080961798788,998.9018424342496,1001.8278265548595,998.948886777465,997.7780577843012,999.0228000709257
